nom,adresse,telephone,site_web,note,nb_avis,categorie,horaires,ville_recherche,date_extraction,source
PLOMB CS RENOV,,+590690121558,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:31.669283,google_maps
Mon Plombier Guadeloupe,,+590690368871,https://mon-plombier-guadeloupe.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:33.552230,google_maps
PRESTIGE PLOMBERIE,"Adresse: 19 All. Bergere, Les Abymes 97139, Guadeloupe",+590590241313,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:35.802528,google_maps
SARL FILTRINOX,"Adresse: Zi Bergevin, 17 Boulevard Du Général de Gaulle, Pointe-à-Pitre 97110, Guadeloupe",+590590913240,http://filtrinox-antilles.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:37.601652,google_maps
O'Top Caraibes,,+590690703545,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:39.598956,google_maps
SOS Plombier Guadeloupe,,+590690526289,https://www.sosplombierguadeloupe.com/?utm_source=gmb,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:42.085213,google_maps
Plombier artisan - SaniExpert,"Adresse: 1 Rue Du Docteur Hélène, Le Gosier 97190, Guadeloupe",+590690342393,https://api.whatsapp.com/send/?phone=0690342393&text=Entreprise+SaniExpert+%C3%A0+votre+service+%21&type=phone_number&app_absent=0,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:44.944022,google_maps
Morinartisan | Plomberie & Salle de bain,"Adresse: 6FCV+8P8 Poucet, Le Gosier 97190, Guadeloupe",+590690679253,http://morinartisan.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:47.126254,google_maps
AKAAZ,"Adresse: 195 Rue François Fresneau, Baie-Mahault 97122, Guadeloupe",+590590570027,https://akaaz.com/,5.0,11,Magasin de matériel de plomberie,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:49.265166,google_maps
CONCEPT ENERGIES NOUVELLES,"Adresse: RDC TOUR FAIDHERBE RESIDENCE ESPACE 2000 BOULEVARD FAIDHERBE, POINTE A PITRE 97110, Guadeloupe",0590468521,https://www.facebook.com/cen.climatisation/,5.0,11,Entrepreneur spécialisé dans les systèmes de CVC,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:51.564446,google_maps
JO PLOMBERY,"Adresse: 9 Rue Léon Philis Seymour, Capesterre-Belle-Eau 97130, Guadeloupe",+590690470275,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:53.935030,google_maps
O’Top Caraibes,,+590690703545,https://www.otopcaraibes.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:56.168934,google_maps
PLOMBERIE EXPRESS,"Adresse: Rue des Raisiniers, Capesterre-Belle-Eau 97130, Guadeloupe",+590690152772,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:44:58.164873,google_maps
SAS Y.COLAT,"Adresse: 6 Immeuble Patio Grand Camp LES ABYMES, 97139, Guadeloupe",+590590834493,https://www.colat-yvon.com/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,5.0,11,Serrurier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:01.064914,google_maps
EI Reinette S,,+590690544153,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:02.937006,google_maps
PlomberieChris,"Adresse: Chemin des Surettiers, Saint-François 97118, Guadeloupe",+590691262753,https://www.plombier-guadeloupe.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:04.895294,google_maps
Ronald ROYAN,,+590690299816,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:08.008155,google_maps
S.D.P,"Adresse: Morne Vergain, 20 lot de l’Habitation, Rue Rolière Arnoux, Les Abymes 97139, Guadeloupe",+590590268193,,5.0,11,Atelier de métallerie,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:10.880464,google_maps
Nonnon Plomberie,"Adresse: Chem. Paulette Favernez, Saint-François 97118, Guadeloupe",+590690395566,http://www.plomberie-nonnon.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:13.361733,google_maps
B12 Services S A S,"Adresse: 95 rue Châtaignier, Sainte-Anne 97180, Guadeloupe",+590690242555,https://www.b12services.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:16.070067,google_maps
SBP Concept,"Adresse: N748 rue Pierre et René Hincelin, Blanchet, Gourbeyre 97113, Guadeloupe",+590590250442,http://sbp-concept.com/,5.0,11,Travaux généraux,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:17.979568,google_maps
Plomberie Dom plateforme TP,"Adresse: Rue Jean Gothland, Baie-Mahault 97122, Guadeloupe",+590690299461,https://plomberiedom.com/,5.0,11,Magasin de matériel de plomberie,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:20.651376,google_maps
Jos Plomberie,"Adresse: Rue Grignan SAINTE-ROSE (971, 97115, Guadeloupe",+590690483523,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:28.312951,google_maps
Plomberie 97,,+590690295339,https://www.plomberie97.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:33.319633,google_maps
DIDIER MULTIPOSE - Plomberie & Salle de bain,,+590690400456,,5.0,11,Spécialiste de la salle de bains,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:36.031897,google_maps
Ardens Plomberie,"Adresse: Rte de Murat, Grand-Bourg 97112, Guadeloupe",+590690647995,https://www.plomberie-ardens.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:41.351545,google_maps
Loic SIMON,"Adresse: residence les embruns, Le Moule 97160, Guadeloupe",0670678393,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:43.932218,google_maps
David Plomberie et Services,,+590690670646,https://david-plomberie.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:46.510971,google_maps
Rézopro,,+590690696043,https://www.rezopro.services/,5.0,11,Entreprise de construction,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:49.057630,google_maps
Polka SAF,,+590690353462,https://www.plomberie-baie-mahault.fr/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:45:56.859205,google_maps
Ramade Freddy,,+590690328293,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:00.061967,google_maps
JFS Plomberie,"Adresse: 15 rue lionel meloir, Le Moule 97160, Guadeloupe",+590690965563,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:03.297455,google_maps
Nicolas Dauré Plomberie,,+590690500379,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:06.094398,google_maps
SASU PLOMBERIE DU SUD,"Adresse: 93 Résidence Louis Delgres La Jaille BAIE MAHAULT, baie mahaut 97122, Guadeloupe",+590690802037,http://plomberiedusud.com/,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:08.847531,google_maps
SNR PLOMBERIE,,+590590322579,,5.0,11,Constructeur immobilier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:13.961116,google_maps
TEG & GC,"Adresse: ANQUETIL 2, RUE MARECHAL RECHAUD, Les Abymes 97139, Guadeloupe",+590690628781,,5.0,11,Électricien,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:18.877229,google_maps
QUALIBLUE,"Adresse: 12 Rue du Morne Tricolore, Sainte-Anne 97180, Guadeloupe",0744035347,https://www.qualiblue.com/,5.0,11,Services aux entreprises,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:21.213725,google_maps
TWOPIK PLOMBERIE,,+590690246107,,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:22.998069,google_maps
Réseaux Plus Sarl,"Adresse: 15 Via Verde ZAC de Houelbourg 2 et 3 BAIE-MAHAULT, 97122, Guadeloupe",+590590380495,https://www.reseauxplus.com/,5.0,11,Quincaillerie,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:25.017823,google_maps
Rénopro caraïbes,,+590690988080,https://www.facebook.com/mozaikclim,5.0,11,Plombier,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:27.632199,google_maps
Guiban Antilles,"Adresse: 58 Rue Ferdinand Forest, Baie-Mahault 97122, Guadeloupe",+590590413581,,5.0,11,Entreprise de construction,,"Pointe-à-Pitre, Guadeloupe",2026-01-25T16:46:30.071939,google_maps
Plomberie Dom Petit Pérou,"Adresse: Lotissement Maewa, ZA de Petit Pérou, Les Abymes 97139, Guadeloupe",+590590323831,https://www.plomberiedom.com/,4.0,4,Magasin de matériel de plomberie,,"Les Abymes, Guadeloupe",2026-01-25T16:48:20.209885,google_maps
Ambiance Plomberie Sanitaire,"Adresse: Salle d'Asile, Imm.Romano, ZA La Bretelle, Les Abymes 97139, Guadeloupe",+590590284445,https://www.ambianceplomberiesanitaire.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,4.0,4,Quincaillerie,,"Les Abymes, Guadeloupe",2026-01-25T16:48:23.400528,google_maps
JC VINCENT PLOMBERIE,,+590690243470,https://www.jcvincentplomberie.com/,4.0,4,Plombier,,"Les Abymes, Guadeloupe",2026-01-25T16:48:33.735260,google_maps
