nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
DEPSC,,,,,,,,,,,,,,,,,,,,,,3,,,2026-01-25
CES Plomberie,"Plombiers | Dépannage plomberie | Vente, installation de chauffe-eau",Route de la Madeleine Kelex 258 avenue Justin Catayee 97300 Cayenne,97300,Cayenne,973,0694242211,0594318998,non,,Lundi: 07h30 - 17h00 | Mardi: 07h30 - 17h00 | Mercredi: 07h30 - 17h00 | Jeudi: 07h30 - 17h00 | Vendredi: 07h30 - 17h00 | Samedi: Fermé | Dimanche: Fermé,"Mastercard, Espèces, CB, Visa, Virement bancaire",plomberie de salle de bain | changement de joint | changement de chauffe-eau | débouchage de baignoire | climatisation | débouchage de canalisation de wc | détection de fuite d'eau | débouchage d'évier | curage de wc | rénovation de salle de bain | plomberie pour gaz | débouchage de canalisation,plomberie de sanitaire | caméra d'assainissement,,,983820440,98382044000011,4322A,25 janvier 2024,,Siège,,,https://www.pagesjaunes.fr/pros/63638652,2026-01-25
AB Fosse,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
DEPSC,"Plombiers | Bricolage, outillage",4 D chemin Château D'Eau 97300 Cayenne,97300,Cayenne,973,0594212902,0694153494,non,,,"Espèces, Chèque, CB, Visa, Mastercard",pose de canalisation | entretien de canalisation | détection de fuite d'eau | entretien de chauffe-eau | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | installateur de cabine de douche | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire | réparation d'émail de sanitaire | plomberie industrielle | inspection vidéo de canalisation | curage de wc,ballon d'eau chaude | chauffe-eau thermodynamique | caméra d'assainissement | plomberie de sanitaire | cabine de douche | douche à l'italienne | baignoire | robinetterie | wc | Rénovation salle de bain,,,,,,,,,,,https://www.pagesjaunes.fr/pros/60438108,2026-01-25
SOS Dépannages,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
Home Rénovation Plus,,,,,,,,,,,,,,,,,,,,,,5,,,2026-01-25
S.M.I.T,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Travaux Services Guyane,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
AMAZONIE ENVIRONNEMENT,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
JBPH Plomberie,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
